iter	Passed	Remaining
838	24989	4795
839	25013	4764
840	25037	4733
841	25064	4703
842	25091	4672
843	25119	4642
844	25149	4613
845	25177	4583
846	25207	4553
847	25234	4523
848	25263	4493
849	25290	4463
850	25315	4432
851	25346	4402
852	25372	4372
853	25400	4342
854	25429	4312
855	25454	4282
856	25480	4251
857	25510	4222
858	25534	4191
859	25560	4161
860	25587	4130
861	25615	4100
862	25644	4070
863	25671	4040
864	25701	4011
865	25733	3981
866	25764	3952
867	25792	3922
868	25823	3892
869	25864	3864
870	25897	3835
871	25940	3807
872	25975	3778
873	26009	3749
874	26040	3720
875	26073	3690
876	26107	3661
877	26139	3632
878	26167	3602
879	26197	3572
880	26228	3542
881	26254	3512
882	26286	3482
883	26312	3452
884	26341	3422
885	26371	3393
886	26403	3363
887	26437	3334
888	26471	3305
889	26501	3275
890	26528	3245
891	26556	3215
892	26584	3185
893	26610	3155
894	26638	3125
895	26666	3095
896	26696	3065
897	26728	3035
898	26759	3006
899	26794	2977
900	26826	2947
901	26850	2917
902	26875	2886
903	26900	2856
904	26925	2826
905	26957	2796
906	26984	2766
907	27017	2737
908	27049	2707
909	27082	2678
910	27108	2648
911	27139	2618
912	27170	2589
913	27205	2559
914	27235	2530
915	27264	2500
916	27299	2470
917	27325	2440
918	27353	2410
919	27384	2381
920	27415	2351
921	27446	2321
922	27478	2292
923	27508	2262
924	27534	2232
925	27559	2202
926	27590	2172
927	27620	2142
928	27648	2113
929	27676	2083
930	27704	2053
931	27734	2023
932	27767	1994
933	27795	1964
934	27824	1934
935	27849	1904
936	27878	1874
937	27904	1844
938	27929	1814
939	27958	1784
940	27984	1754
941	28010	1724
942	28036	1694
943	28064	1664
944	28094	1635
945	28121	1605
946	28149	1575
947	28176	1545
948	28209	1516
949	28241	1486
950	28268	1456
951	28282	1425
952	28294	1395
953	28307	1364
954	28321	1334
955	28333	1304
956	28349	1273
957	28359	1243
958	28368	1212
959	28379	1182
960	28389	1152
961	28398	1121
962	28408	1091
963	28417	1061
964	28428	1031
965	28438	1000
966	28447	970
967	28457	940
968	28467	910
969	28478	880
970	28489	850
971	28500	821
972	28512	791
973	28523	761
974	28534	731
975	28544	701
976	28554	672
977	28566	642
978	28577	613
979	28589	583
980	28600	553
981	28611	524
982	28622	494
983	28636	465
984	28646	436
985	28656	406
986	28668	377
987	28680	348
988	28691	319
989	28703	289
990	28714	260
991	28726	231
992	28739	202
993	28752	173
994	28763	144
995	28777	115
996	28789	86
997	28800	57
998	28810	28
999	28823	0
