iter	RMSE
643	38.62111695
644	38.62081738
645	38.62036662
646	38.62004208
647	38.61973366
648	38.61947455
649	38.61908544
650	38.6188151
651	38.61851082
652	38.61811816
653	38.61775746
654	38.61735428
655	38.61700826
656	38.61666706
657	38.61641267
658	38.61607976
659	38.61582885
660	38.6155169
661	38.61523501
662	38.61499871
663	38.61457596
664	38.61429678
665	38.61390275
666	38.6135859
667	38.61326247
668	38.61291866
669	38.61259479
670	38.61223301
671	38.61190702
672	38.61163991
673	38.61125489
674	38.61087266
675	38.61052128
676	38.61015127
677	38.609817
678	38.60952532
679	38.60921054
680	38.60887435
681	38.60856583
682	38.60822695
683	38.60790797
684	38.60759049
685	38.60735301
686	38.60703774
687	38.60677131
688	38.60636684
689	38.60604178
690	38.60574946
691	38.60533997
692	38.60507349
693	38.60474789
694	38.60437588
695	38.60402557
696	38.6037141
697	38.60335985
698	38.60306699
699	38.60269368
700	38.60238777
701	38.60202045
702	38.60166478
703	38.60129777
704	38.60097197
705	38.60069278
706	38.60034292
707	38.60004054
708	38.59975368
709	38.59932018
710	38.59906882
711	38.59869497
712	38.59834007
713	38.59804772
714	38.59764426
715	38.59732277
716	38.59701483
717	38.59671938
718	38.59644972
719	38.59601529
720	38.59566859
721	38.59540993
722	38.59516259
723	38.59482205
724	38.59447208
725	38.59411838
726	38.59377287
727	38.59347963
728	38.59311211
729	38.59282647
730	38.59252789
731	38.59226899
732	38.59209843
733	38.5917828
734	38.5914335
735	38.59107616
736	38.59074745
737	38.59043592
738	38.59015714
739	38.58993181
740	38.58959533
741	38.58928894
742	38.58906425
743	38.58876903
744	38.58850615
745	38.58823856
746	38.58789462
747	38.58754158
748	38.58723809
749	38.58702344
750	38.58661842
751	38.58634986
752	38.58598113
753	38.5856076
754	38.5853423
755	38.58496765
756	38.5846775
757	38.58434668
758	38.58401731
759	38.58380231
760	38.58349821
761	38.58326961
762	38.58290801
763	38.58252375
764	38.58222371
765	38.5819602
766	38.58167886
767	38.58141693
768	38.58111875
769	38.58085512
770	38.58052228
771	38.58018996
772	38.57993835
773	38.57964183
774	38.57922369
775	38.57887425
776	38.5784365
777	38.57810165
778	38.57775344
779	38.57739741
780	38.57706616
781	38.57674585
782	38.57646302
783	38.5762581
784	38.57592069
785	38.57569459
786	38.57533149
787	38.57496625
788	38.57471262
789	38.57440264
790	38.57409365
791	38.57376942
792	38.57335626
793	38.57306887
794	38.57270014
795	38.57240993
796	38.57220806
797	38.57193532
798	38.57166391
799	38.57130632
800	38.57100454
801	38.5706856
802	38.57054852
803	38.57030283
804	38.56996858
805	38.56965136
806	38.5692652
807	38.56898235
808	38.56866497
809	38.5683576
810	38.56800118
811	38.56769276
812	38.56737516
813	38.56708169
814	38.56677252
815	38.56650636
816	38.56624722
817	38.56602336
818	38.56566538
819	38.56546036
820	38.56511465
821	38.56473442
822	38.56437669
823	38.56407027
824	38.56383356
825	38.56360974
826	38.56336684
827	38.56316858
828	38.56292719
829	38.56264496
830	38.56241482
831	38.56210175
832	38.56172621
833	38.56144365
834	38.5611213
835	38.56079611
836	38.56056834
837	38.56027355
838	38.56001308
839	38.55975921
840	38.55945478
841	38.55928904
842	38.55896547
843	38.55866281
844	38.55825359
845	38.55794107
846	38.55760026
847	38.55727715
848	38.55702505
849	38.55674457
850	38.55638909
851	38.55607632
852	38.55577638
853	38.5555155
854	38.55517503
855	38.55484645
856	38.5545501
857	38.55425101
858	38.55398367
859	38.5536782
860	38.55330447
861	38.55297065
862	38.55266934
863	38.55241125
864	38.55217628
865	38.5519217
866	38.55163594
867	38.55127553
868	38.55104119
869	38.55080706
870	38.55051016
871	38.55019956
872	38.54985196
873	38.54948399
874	38.54923052
875	38.54903371
876	38.54866444
877	38.54839979
878	38.54810719
879	38.54773126
880	38.54739656
881	38.54714136
882	38.5469449
883	38.54666257
884	38.5462347
885	38.54589445
886	38.54558931
887	38.54529004
888	38.54489975
889	38.54474398
890	38.54443504
891	38.54420748
892	38.54388657
893	38.5436046
894	38.54336317
895	38.54305277
896	38.5427714
897	38.5424215
898	38.54215736
899	38.54188498
900	38.54160298
901	38.54135407
902	38.5409661
903	38.54081128
904	38.54060495
905	38.54034037
906	38.54011751
907	38.53984157
908	38.53951966
909	38.53929759
910	38.53904606
911	38.53864961
912	38.5383801
913	38.53808214
914	38.53774294
915	38.53737371
916	38.53706426
917	38.53675308
918	38.53651604
919	38.53621469
920	38.53584707
921	38.53553484
922	38.53519572
923	38.53484762
924	38.53461425
925	38.53432084
926	38.53413946
927	38.53393053
928	38.53360182
929	38.53331424
930	38.53304356
931	38.53274417
932	38.53247097
933	38.53202191
934	38.53175999
935	38.53148265
936	38.53118026
937	38.53095632
938	38.53074363
939	38.53053383
940	38.53025474
941	38.52998434
942	38.52968529
943	38.52948842
944	38.52919539
945	38.52891925
946	38.52859003
947	38.52838423
948	38.52817058
949	38.52789884
950	38.52764996
951	38.5274226
952	38.52722024
953	38.52696256
954	38.52672228
955	38.52644398
956	38.52618842
957	38.52589916
958	38.52569339
959	38.52542719
960	38.52510468
961	38.52477513
962	38.52450443
963	38.5242108
964	38.5239658
965	38.52372961
966	38.52342404
