iter	Passed	Remaining
690	19068	8526
691	19100	8501
692	19125	8472
693	19153	8445
694	19178	8416
695	19208	8389
696	19233	8361
697	19259	8332
698	19290	8306
699	19315	8278
700	19343	8250
701	19372	8223
702	19398	8195
703	19426	8167
704	19453	8140
705	19477	8111
706	19505	8083
707	19530	8054
708	19554	8025
709	19579	7997
710	19608	7970
711	19638	7943
712	19663	7915
713	19690	7887
714	19717	7859
715	19741	7830
716	19768	7802
717	19793	7773
718	19823	7747
719	19851	7719
720	19877	7691
721	19904	7664
722	19932	7636
723	19960	7609
724	19985	7580
725	20011	7552
726	20040	7525
727	20066	7497
728	20091	7468
729	20118	7440
730	20143	7412
731	20170	7384
732	20195	7356
733	20221	7328
734	20250	7301
735	20278	7273
736	20305	7246
737	20331	7218
738	20359	7190
739	20387	7163
740	20419	7137
741	20445	7108
742	20470	7080
743	20495	7052
744	20519	7023
745	20548	6996
746	20574	6968
747	20600	6940
748	20628	6912
749	20655	6885
750	20682	6857
751	20707	6828
752	20733	6800
753	20758	6772
754	20784	6744
755	20811	6716
756	20838	6689
757	20867	6662
758	20895	6634
759	20921	6606
760	20949	6579
761	20975	6551
762	20999	6522
763	21026	6494
764	21054	6467
765	21080	6439
766	21104	6411
767	21130	6383
768	21158	6355
769	21185	6328
770	21212	6300
771	21241	6273
772	21269	6246
773	21300	6219
774	21325	6191
775	21348	6162
776	21375	6134
777	21400	6106
778	21427	6079
779	21455	6051
780	21479	6023
781	21508	5995
782	21534	5968
783	21559	5939
784	21586	5912
785	21611	5884
786	21641	5857
787	21669	5829
788	21697	5802
789	21729	5776
790	21759	5749
791	21792	5723
792	21819	5695
793	21849	5668
794	21874	5640
795	21902	5613
796	21927	5585
797	21955	5557
798	21981	5529
799	22012	5503
800	22044	5476
801	22067	5448
802	22093	5420
803	22123	5393
804	22153	5366
805	22180	5338
806	22210	5311
807	22242	5285
808	22272	5258
809	22303	5231
810	22330	5204
811	22358	5176
812	22388	5149
813	22412	5121
814	22438	5093
815	22466	5066
816	22491	5037
817	22523	5011
818	22551	4983
819	22582	4957
820	22606	4928
821	22633	4901
822	22656	4872
823	22684	4845
824	22711	4817
825	22740	4790
826	22765	4762
827	22795	4735
828	22820	4707
829	22851	4680
830	22879	4652
831	22910	4626
832	22937	4598
833	22963	4570
834	22988	4542
835	23017	4515
836	23041	4487
837	23070	4459
838	23100	4432
839	23124	4404
840	23149	4376
841	23174	4348
842	23201	4321
843	23230	4293
844	23255	4265
845	23282	4238
846	23309	4210
847	23337	4183
848	23369	4156
849	23395	4128
850	23421	4100
851	23448	4073
852	23477	4045
853	23502	4017
854	23532	3990
855	23560	3963
856	23584	3935
857	23614	3908
858	23638	3880
859	23664	3852
860	23691	3824
861	23718	3797
862	23747	3769
863	23774	3742
864	23801	3714
865	23833	3687
866	23858	3659
867	23883	3632
868	23910	3604
869	23936	3576
870	23963	3549
871	23991	3521
872	24020	3494
873	24049	3467
874	24077	3439
875	24103	3411
876	24129	3384
877	24160	3357
878	24187	3329
879	24216	3302
880	24247	3275
881	24275	3247
882	24304	3220
883	24331	3192
884	24363	3165
885	24392	3138
886	24423	3111
887	24450	3083
888	24477	3056
889	24506	3028
890	24536	3001
891	24564	2974
892	24594	2946
893	24625	2919
894	24652	2892
895	24679	2864
896	24707	2837
897	24737	2809
898	24764	2782
899	24792	2754
900	24822	2727
901	24849	2699
902	24878	2672
903	24908	2645
904	24940	2618
905	24970	2590
906	24997	2563
907	25025	2535
908	25053	2508
909	25083	2480
910	25108	2452
911	25134	2425
912	25161	2397
913	25191	2370
914	25221	2342
915	25250	2315
916	25278	2288
917	25306	2260
918	25335	2233
919	25360	2205
920	25388	2177
921	25415	2150
922	25442	2122
923	25470	2094
924	25497	2067
925	25528	2040
926	25558	2012
927	25586	1985
928	25617	1957
929	25644	1930
930	25671	1902
931	25702	1875
932	25734	1848
933	25766	1820
934	25794	1793
935	25824	1765
936	25854	1738
937	25881	1710
938	25906	1682
939	25931	1655
940	25958	1627
941	25990	1600
942	26019	1572
943	26045	1545
944	26074	1517
945	26103	1490
946	26134	1462
947	26162	1435
948	26191	1407
949	26218	1379
950	26248	1352
951	26275	1324
952	26302	1297
953	26327	1269
954	26352	1241
955	26381	1214
956	26407	1186
957	26435	1158
958	26462	1131
959	26489	1103
960	26515	1076
961	26541	1048
962	26568	1020
963	26597	993
964	26628	965
965	26655	938
966	26680	910
967	26711	883
968	26738	855
969	26770	827
970	26803	800
971	26831	772
972	26855	745
973	26884	717
974	26917	690
975	26943	662
976	26969	634
977	26996	607
978	27027	579
979	27055	552
980	27085	524
981	27116	497
982	27148	469
983	27182	441
984	27213	414
985	27244	386
986	27276	359
987	27304	331
988	27333	304
989	27359	276
990	27386	248
991	27413	221
992	27444	193
993	27472	165
994	27500	138
995	27529	110
996	27558	82
997	27585	55
998	27612	27
999	27644	0
