iter	RMSE
505	38.67579281
506	38.67544027
507	38.67510991
508	38.67461542
509	38.67428952
510	38.67395834
511	38.67359238
512	38.67331997
513	38.67293697
514	38.67258839
515	38.67225973
516	38.67198176
517	38.67150446
518	38.67114935
519	38.67083774
520	38.6705637
521	38.67015119
522	38.66986768
523	38.66945792
524	38.66904477
525	38.66871413
526	38.66839848
527	38.66798325
528	38.66772122
529	38.66728589
530	38.66694935
531	38.66668574
532	38.66625042
533	38.66589917
534	38.66564721
535	38.66529469
536	38.66489351
537	38.66434366
538	38.66389377
539	38.66350953
540	38.66322335
541	38.66286883
542	38.66258446
543	38.66231867
544	38.66189424
545	38.66142846
546	38.66104523
547	38.66059007
548	38.66028561
549	38.65990349
550	38.6594682
551	38.65911026
552	38.65881395
553	38.65848123
554	38.65827947
555	38.6579449
556	38.65761117
557	38.6573134
558	38.65695274
559	38.65663227
560	38.65631575
561	38.6559889
562	38.65563486
563	38.65537168
564	38.65518356
565	38.65489006
566	38.65454446
567	38.65416151
568	38.65378538
569	38.65338841
570	38.65308417
571	38.65267897
572	38.652275
573	38.65194328
574	38.65158744
575	38.6512851
576	38.6509137
577	38.65048811
578	38.6502279
579	38.64992977
580	38.64950255
581	38.64906881
582	38.64872358
583	38.64851113
584	38.64811363
585	38.64779804
586	38.64746134
587	38.64717884
588	38.64677823
589	38.64648851
590	38.64603144
591	38.64565311
592	38.64529203
593	38.6450813
594	38.6445815
595	38.64427119
596	38.64392853
597	38.64355641
598	38.64320987
599	38.64290608
600	38.64262503
601	38.64228389
602	38.64196878
603	38.64157858
604	38.64126825
605	38.64082227
606	38.64047313
607	38.64014486
608	38.63977115
609	38.63945995
610	38.63909369
611	38.63874274
612	38.63835266
613	38.6380712
614	38.63777709
615	38.63737927
616	38.63706221
617	38.63678666
618	38.63645449
619	38.63612366
620	38.63583366
621	38.6355111
622	38.6350856
623	38.634742
624	38.6343644
625	38.63391228
626	38.63364533
627	38.63333849
628	38.63301081
629	38.63265983
630	38.63229191
631	38.6319969
632	38.63174675
633	38.63145271
634	38.63118286
635	38.63092969
636	38.63043843
637	38.6301089
638	38.62981932
639	38.62941958
640	38.62910227
641	38.62880468
642	38.62860862
643	38.62824526
644	38.62787825
645	38.62765155
646	38.62738992
647	38.62715738
648	38.62681947
649	38.62643062
650	38.62611977
651	38.62574833
652	38.62544915
653	38.62513708
654	38.62479706
655	38.62443782
656	38.62408204
657	38.62382982
658	38.62346253
659	38.62316914
660	38.6228378
661	38.62247988
662	38.62214495
663	38.62179447
664	38.62148108
665	38.62117934
666	38.6206992
667	38.62027072
668	38.61998494
669	38.61970505
670	38.61941889
671	38.61907887
672	38.61874973
673	38.61842989
674	38.6181326
675	38.61774079
676	38.61735415
677	38.6170994
678	38.6168667
679	38.61650559
680	38.6161127
681	38.61584862
682	38.61550774
683	38.61523503
684	38.61493387
685	38.61462805
686	38.61434976
687	38.6140445
688	38.61372785
689	38.61340104
690	38.61305085
691	38.61268964
692	38.61228223
693	38.6119975
694	38.61164412
695	38.61143445
696	38.6111866
697	38.61090926
698	38.61063032
699	38.61016978
700	38.60982959
701	38.60947934
702	38.60911146
703	38.60876855
704	38.60850734
705	38.60808917
706	38.60782064
707	38.60749693
708	38.6071755
709	38.60687561
710	38.60649937
711	38.60618172
712	38.60583122
713	38.6055779
714	38.6052541
715	38.60501357
716	38.60475148
717	38.60441889
718	38.60409636
719	38.60383324
720	38.60353971
721	38.6031479
722	38.60281031
723	38.60248764
724	38.60218912
725	38.60185115
726	38.60141922
727	38.60104736
728	38.60081508
729	38.60045635
730	38.60017362
731	38.59981757
732	38.59951952
733	38.59927181
734	38.59893387
735	38.59863393
736	38.59837523
